locus_tag	ftype	gene	EC_number	product
LFT_00901	CDS	coaX	2.7.1.33	Type III pantothenate kinase
LFT_00902	CDS			hypothetical protein
LFT_00903	CDS			putative signaling protein
LFT_00904	CDS			hypothetical protein
LFT_00905	CDS	emrA		Multidrug export protein EmrA
LFT_00906	CDS	tolC_2		Outer membrane protein TolC
LFT_00907	CDS	mdh	1.1.1.37	Malate dehydrogenase
LFT_00908	CDS	lptC		Lipopolysaccharide export system protein LptC
LFT_00909	CDS	lptA		Lipopolysaccharide export system protein LptA
LFT_00910	CDS	lptB	3.6.3.-	Lipopolysaccharide export system ATP-binding protein LptB
LFT_00911	CDS	rpoN		RNA polymerase sigma-54 factor
LFT_00912	CDS	hpf		Ribosome hibernation promotion factor
LFT_00913	CDS			Nucleotide-binding protein
LFT_00914	CDS			hypothetical protein
LFT_00915	CDS	aroC	4.2.3.5	Chorismate synthase
LFT_00916	CDS	aroL	2.7.1.71	Shikimate kinase 2
LFT_00917	CDS	aroB_1	4.2.3.4	3-dehydroquinate synthase
LFT_00918	CDS	aroB_2	4.2.3.4	3-dehydroquinate synthase
LFT_00919	CDS	ptsP	2.7.3.9	Phosphoenolpyruvate-dependent phosphotransferase system
LFT_00920	CDS			hypothetical protein
LFT_00921	CDS			hypothetical protein
LFT_00922	CDS			hypothetical protein
LFT_00923	CDS	queF	1.7.1.13	NADPH-dependent 7-cyano-7-deazaguanine reductase
LFT_00924	CDS			hypothetical protein
LFT_00925	tRNA			tRNA-Val(tac)
LFT_00926	tRNA			tRNA-Asp(gtc)
LFT_00927	CDS	exbB_1		Biopolymer transport protein ExbB
LFT_00928	CDS	exbD_1		Biopolymer transport protein ExbD
LFT_00929	CDS	tolB_1		Protein TolB
LFT_00930	CDS	cpoB		Cell division coordinator CpoB
LFT_00931	CDS	mutL		DNA mismatch repair protein MutL
LFT_00932	CDS	miaA	2.5.1.75	tRNA dimethylallyltransferase
LFT_00933	CDS		2.4.2.44	S-methyl-5'-thioinosine phosphorylase
LFT_00934	CDS	mtnP	2.4.2.28	S-methyl-5'-thioadenosine phosphorylase
LFT_00935	CDS	ydjH	2.7.1.-	putative sugar kinase YdjH
LFT_00936	CDS	yrrB		TPR repeat-containing protein YrrB
	sig_peptide			putative signal peptide
LFT_00937	CDS			hypothetical protein
LFT_00938	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00939	tRNA			tRNA-Thr(cgt)
LFT_00940	CDS			hypothetical protein
LFT_00941	CDS			hypothetical protein
LFT_00942	CDS			hypothetical protein
LFT_00943	CDS			hypothetical protein
LFT_00944	CDS			hypothetical protein
LFT_00945	CDS			hypothetical protein
LFT_00946	CDS	traI_1		Multifunctional conjugation protein TraI
LFT_00947	CDS			hypothetical protein
LFT_00948	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00949	CDS	cusF_1		Cation efflux system protein CusF
	sig_peptide			putative signal peptide
LFT_00950	CDS	cusA		Cation efflux system protein CusA
LFT_00951	CDS	cusB_2		Cation efflux system protein CusB
	sig_peptide			putative signal peptide
LFT_00952	CDS			hypothetical protein
LFT_00953	CDS			hypothetical protein
LFT_00954	CDS			hypothetical protein
LFT_00955	CDS	xerD_2		Tyrosine recombinase XerD
LFT_00956	CDS			hypothetical protein
LFT_00957	CDS	mepM_3	3.4.24.-	Murein DD-endopeptidase MepM
LFT_00958	CDS	clpC		Negative regulator of genetic competence ClpC/MecB
LFT_00959	CDS	tsaD_1	2.3.1.234	tRNA N6-adenosine threonylcarbamoyltransferase
LFT_00960	CDS	tsaD_2	2.3.1.234	tRNA N6-adenosine threonylcarbamoyltransferase
LFT_00961	CDS	argS	6.1.1.19	Arginine--tRNA ligase
LFT_00962	CDS	tgt	2.4.2.29	Queuine tRNA-ribosyltransferase
LFT_00963	CDS			hypothetical protein
LFT_00964	CDS			hypothetical protein
LFT_00965	CDS			hypothetical protein
LFT_00966	CDS			hypothetical protein
LFT_00967	CDS	recJ	3.1.-.-	Single-stranded-DNA-specific exonuclease RecJ
LFT_00968	CDS	relA	2.7.6.5	GTP pyrophosphokinase
LFT_00969	CDS	fdhE		Protein FdhE
LFT_00970	CDS			hypothetical protein
LFT_00971	CDS	kstR2_1		HTH-type transcriptional repressor KstR2
LFT_00972	CDS	pcrC		Perchlorate reductase subunit gamma
	sig_peptide			putative signal peptide
LFT_00973	CDS	emrK_1		putative multidrug resistance protein EmrK
LFT_00974	CDS	emrB_1		Multidrug export protein EmrB
LFT_00975	CDS	tolC_3		Outer membrane protein TolC
LFT_00976	CDS	emrK_2		putative multidrug resistance protein EmrK
LFT_00977	CDS	emrB_2		Multidrug export protein EmrB
LFT_00978	CDS	hrcA		Heat-inducible transcription repressor HrcA
LFT_00979	CDS	grpE		Protein GrpE
LFT_00980	CDS	dnaK_2		Chaperone protein DnaK
LFT_00981	CDS	dnaJ_1		Chaperone protein DnaJ
LFT_00982	CDS			hypothetical protein
LFT_00983	CDS			hypothetical protein
LFT_00984	CDS	tpm	2.1.1.67	Thiopurine S-methyltransferase
LFT_00985	CDS	cobP	2.7.1.156	Bifunctional adenosylcobalamin biosynthesis protein CobP
LFT_00986	CDS	cobT	2.4.2.21	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
LFT_00987	CDS	cobS	2.7.8.26	Adenosylcobinamide-GDP ribazoletransferase
LFT_00988	CDS			hypothetical protein
LFT_00989	CDS			hypothetical protein
LFT_00990	CDS			hypothetical protein
LFT_00991	CDS			hypothetical protein
LFT_00992	CDS			hypothetical protein
LFT_00993	CDS	yhdN	1.1.1.-	General stress protein 69
LFT_00994	CDS	cobC	3.1.3.73	Adenosylcobalamin/alpha-ribazole phosphatase
LFT_00995	CDS	cbiA	6.3.5.11	Cobyrinate a,c-diamide synthase
LFT_00996	CDS	cbiC	5.4.99.60	Cobalt-precorrin-8 methylmutase
LFT_00997	CDS	icd_1	1.1.1.42	Isocitrate dehydrogenase [NADP]
LFT_00998	CDS	icd_2	1.1.1.42	Isocitrate dehydrogenase [NADP]
LFT_00999	CDS			hypothetical protein
LFT_01000	CDS			putative signaling protein
LFT_01001	CDS			hypothetical protein
LFT_01002	CDS			hypothetical protein
LFT_01003	CDS			Type IV secretion system protein virB10
LFT_01004	CDS			hypothetical protein
LFT_01005	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01006	CDS			hypothetical protein
LFT_01007	CDS			hypothetical protein
LFT_01008	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01009	CDS	virB4		Type IV secretion system protein virB4
LFT_01010	CDS			hypothetical protein
LFT_01011	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01012	CDS	ptlH		Type IV secretion system protein PtlH
LFT_01013	CDS			hypothetical protein
LFT_01014	CDS			hypothetical protein
LFT_01015	CDS			hypothetical protein
LFT_01016	CDS			hypothetical protein
LFT_01017	CDS			hypothetical protein
LFT_01018	CDS	dpnM_2	2.1.1.72	Modification methylase DpnIIA
LFT_01019	CDS			hypothetical protein
LFT_01020	CDS			hypothetical protein
LFT_01021	CDS			hypothetical protein
LFT_01022	CDS			hypothetical protein
LFT_01023	CDS	exoX	3.1.11.-	Exodeoxyribonuclease 10
LFT_01024	CDS			hypothetical protein
LFT_01025	CDS			hypothetical protein
LFT_01026	CDS			hypothetical protein
LFT_01027	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01028	CDS			hypothetical protein
LFT_01029	CDS			hypothetical protein
LFT_01030	CDS			hypothetical protein
LFT_01031	CDS			hypothetical protein
LFT_01032	CDS			hypothetical protein
LFT_01033	CDS	pknD_1	2.7.11.1	Serine/threonine-protein kinase PknD
	sig_peptide			putative signal peptide
LFT_01034	CDS			hypothetical protein
LFT_01035	CDS			hypothetical protein
LFT_01036	CDS			hypothetical protein
LFT_01037	CDS			hypothetical protein
LFT_01038	CDS	pdeB	3.1.4.52	Cyclic di-GMP phosphodiesterase PdeB
LFT_01039	CDS			hypothetical protein
LFT_01040	CDS			hypothetical protein
LFT_01041	CDS			hypothetical protein
LFT_01042	CDS			hypothetical protein
LFT_01043	CDS			hypothetical protein
LFT_01044	CDS			hypothetical protein
LFT_01045	CDS			hypothetical protein
LFT_01046	CDS			hypothetical protein
LFT_01047	CDS			hypothetical protein
LFT_01048	CDS			hypothetical protein
LFT_01049	CDS			hypothetical protein
LFT_01050	CDS			hypothetical protein
LFT_01051	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01052	CDS			hypothetical protein
LFT_01053	CDS	recD2	3.6.4.12	ATP-dependent RecD-like DNA helicase
LFT_01054	CDS			hypothetical protein
LFT_01055	CDS			hypothetical protein
LFT_01056	CDS			hypothetical protein
LFT_01057	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01058	CDS			hypothetical protein
LFT_01059	CDS	rep	3.6.4.12	ATP-dependent DNA helicase Rep
LFT_01060	CDS			hypothetical protein
LFT_01061	CDS			hypothetical protein
LFT_01062	CDS			hypothetical protein
LFT_01063	CDS			hypothetical protein
LFT_01064	CDS			hypothetical protein
LFT_01065	CDS			hypothetical protein
LFT_01066	CDS			hypothetical protein
LFT_01067	CDS			hypothetical protein
LFT_01068	CDS			hypothetical protein
LFT_01069	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01070	CDS			hypothetical protein
LFT_01071	CDS			hypothetical protein
LFT_01072	CDS			hypothetical protein
LFT_01073	CDS	nrdZ_2	1.17.4.1	Vitamin B12-dependent ribonucleoside-diphosphate reductase
LFT_01074	CDS			hypothetical protein
LFT_01075	CDS			hypothetical protein
LFT_01076	CDS			hypothetical protein
LFT_01077	CDS			hypothetical protein
LFT_01078	CDS	pknD_2	2.7.11.1	Serine/threonine-protein kinase PknD
LFT_01079	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01080	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01081	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01082	CDS			hypothetical protein
LFT_01083	CDS	ssb_1		Single-stranded DNA-binding protein
LFT_01084	CDS			hypothetical protein
LFT_01085	CDS			hypothetical protein
LFT_01086	CDS	xcpQ_2		Type II secretion system protein D
LFT_01087	CDS			hypothetical protein
LFT_01088	CDS			hypothetical protein
LFT_01089	CDS			hypothetical protein
LFT_01090	CDS			hypothetical protein
LFT_01091	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01092	CDS	rpfG_2	3.1.4.52	Cyclic di-GMP phosphodiesterase response regulator RpfG
LFT_01093	CDS	pleD_3		Response regulator PleD
LFT_01094	CDS	tmk_1	2.7.4.9	Thymidylate kinase
LFT_01095	CDS			hypothetical protein
LFT_01096	CDS			hypothetical protein
LFT_01097	CDS			hypothetical protein
LFT_01098	CDS	prtR		HTH-type transcriptional regulator PrtR
LFT_01099	CDS			hypothetical protein
LFT_01100	CDS			hypothetical protein
LFT_01101	CDS			hypothetical protein
LFT_01102	CDS			hypothetical protein
LFT_01103	CDS			hypothetical protein
LFT_01104	CDS			hypothetical protein
LFT_01105	CDS	rapA_2	3.6.4.-	RNA polymerase-associated protein RapA
LFT_01106	CDS			hypothetical protein
LFT_01107	CDS			hypothetical protein
LFT_01108	CDS	chuR	1.1.99.-	Anaerobic sulfatase-maturating enzyme
LFT_01109	CDS			hypothetical protein
LFT_01110	CDS	atsB	1.1.99.-	Anaerobic sulfatase-maturating enzyme
LFT_01111	CDS	ubiG	2.1.1.222	Ubiquinone biosynthesis O-methyltransferase
LFT_01112	CDS			hypothetical protein
LFT_01113	CDS			hypothetical protein
LFT_01114	CDS			hypothetical protein
LFT_01115	CDS			hypothetical protein
LFT_01116	CDS			hypothetical protein
LFT_01117	CDS			hypothetical protein
LFT_01118	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01119	CDS			hypothetical protein
LFT_01120	CDS			hypothetical protein
LFT_01121	CDS			hypothetical protein
LFT_01122	CDS			hypothetical protein
LFT_01123	CDS			hypothetical protein
LFT_01124	CDS			hypothetical protein
LFT_01125	CDS	pilT		Twitching mobility protein
LFT_01126	CDS			hypothetical protein
LFT_01127	CDS			hypothetical protein
LFT_01128	CDS			hypothetical protein
LFT_01129	CDS	outD		Type II secretion system protein D
LFT_01130	CDS	gspE		Putative type II secretion system protein E
LFT_01131	CDS			hypothetical protein
LFT_01132	CDS			hypothetical protein
LFT_01133	CDS			hypothetical protein
LFT_01134	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01135	CDS			hypothetical protein
LFT_01136	CDS			hypothetical protein
LFT_01137	CDS	traG_1		Conjugal transfer protein TraG
LFT_01138	CDS	traG_2		Conjugal transfer protein TraG
LFT_01139	CDS			hypothetical protein
LFT_01140	CDS	cas3	3.1.-.-	CRISPR-associated nuclease/helicase Cas3
LFT_01141	CDS	cse1		CRISPR-associated protein CasA/Cse1
LFT_01142	CDS			hypothetical protein
LFT_01143	CDS			hypothetical protein
LFT_01144	CDS	casC		CRISPR system Cascade subunit CasC
LFT_01145	CDS	casD		CRISPR system Cascade subunit CasD
LFT_01146	CDS	ygbT	3.1.-.-	CRISPR-associated endonuclease Cas1
	repeat_region			
LFT_01147	CDS			hypothetical protein
LFT_01148	CDS			hypothetical protein
LFT_01149	CDS			hypothetical protein
LFT_01150	CDS			hypothetical protein
LFT_01151	CDS			hypothetical protein
LFT_01152	CDS			hypothetical protein
LFT_01153	CDS			hypothetical protein
LFT_01154	CDS			hypothetical protein
LFT_01155	CDS			hypothetical protein
LFT_01156	CDS		3.1.4.-	3'3'-cGAMP-specific phosphodiesterase 3
LFT_01157	CDS			hypothetical protein
LFT_01158	CDS			hypothetical protein
LFT_01159	CDS			hypothetical protein
LFT_01160	CDS			hypothetical protein
LFT_01161	CDS	hmrR		HTH-type transcriptional regulator HmrR
LFT_01162	CDS	merC		Mercuric resistance protein MerC
LFT_01163	CDS	merA_2	1.16.1.1	Mercuric reductase
LFT_01164	CDS			hypothetical protein
LFT_01165	CDS			hypothetical protein
LFT_01166	CDS			hypothetical protein
LFT_01167	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01168	CDS	nifH	1.18.6.1	Nitrogenase iron protein
LFT_01169	CDS	nifD_1	1.18.6.1	Nitrogenase molybdenum-iron protein alpha chain
LFT_01170	CDS	nifK_1	1.18.6.1	Nitrogenase molybdenum-iron protein beta chain
LFT_01171	CDS	nifD_2	1.18.6.1	Nitrogenase molybdenum-iron protein alpha chain
LFT_01172	CDS	nifK_2	1.18.6.1	Nitrogenase molybdenum-iron protein beta chain
LFT_01173	CDS			hypothetical protein
LFT_01174	CDS			hypothetical protein
LFT_01175	CDS	nifB	4.-.-.-	FeMo cofactor biosynthesis protein NifB
LFT_01176	CDS	yfhL		putative ferredoxin-like protein YfhL
LFT_01177	CDS	iscA		Iron-binding protein IscA
LFT_01178	CDS			hypothetical protein
LFT_01179	CDS			hypothetical protein
LFT_01180	CDS	nifS	2.8.1.7	Cysteine desulfurase NifS
LFT_01181	CDS	per	2.6.1.102	GDP-perosamine synthase
LFT_01182	CDS			hypothetical protein
LFT_01183	CDS			hypothetical protein
LFT_01184	CDS			hypothetical protein
LFT_01185	CDS			hypothetical protein
LFT_01186	CDS			hypothetical protein
LFT_01187	CDS			hypothetical protein
LFT_01188	CDS			hypothetical protein
LFT_01189	CDS	fdxB		Ferredoxin-3
LFT_01190	CDS	nifW2		Nitrogenase-stabilizing/protective protein NifW 2
LFT_01191	CDS	glnB_3		Nitrogen regulatory protein P-II
LFT_01192	CDS	glnB_4		Nitrogen regulatory protein P-II
LFT_01193	CDS			hypothetical protein
LFT_01194	CDS			hypothetical protein
LFT_01195	CDS	leuA_2	2.3.3.13	2-isopropylmalate synthase
LFT_01196	CDS	moeB	2.7.7.80	Molybdopterin-synthase adenylyltransferase
LFT_01197	CDS	modA_2		Molybdate-binding periplasmic protein
	sig_peptide			putative signal peptide
LFT_01198	CDS	modB		Molybdenum transport system permease protein ModB
LFT_01199	CDS	thiQ	3.6.3.-	Thiamine import ATP-binding protein ThiQ
LFT_01200	CDS			hypothetical protein
LFT_01201	CDS	mog	2.7.7.75	Molybdopterin adenylyltransferase
LFT_01202	CDS	moaC	4.6.1.17	Cyclic pyranopterin monophosphate synthase
LFT_01203	CDS	moeA	2.10.1.1	Molybdopterin molybdenumtransferase
LFT_01204	CDS	moaE1	2.8.1.12	Molybdopterin synthase catalytic subunit 1
LFT_01205	CDS			hypothetical protein
LFT_01206	CDS	moaA1	4.1.99.22	GTP 3',8-cyclase 1
LFT_01207	CDS	glnB_5		Nitrogen regulatory protein P-II
LFT_01208	CDS	sir_1	1.8.7.1	Sulfite reductase [ferredoxin]
LFT_01209	CDS	nasD	1.7.1.4	Nitrite reductase [NAD(P)H]
LFT_01210	CDS	nasA		Nitrate transporter
LFT_01211	CDS	glnK		Nitrogen regulatory protein P-II 2
LFT_01212	CDS	glnB_6		Nitrogen regulatory protein P-II
LFT_01213	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01214	CDS	higB_1	3.1.-.-	Endoribonuclease HigB
LFT_01215	CDS	ybaQ_2		putative HTH-type transcriptional regulator YbaQ
LFT_01216	CDS			hypothetical protein
LFT_01217	CDS			hypothetical protein
LFT_01218	CDS			hypothetical protein
LFT_01219	CDS			hypothetical protein
LFT_01220	CDS			hypothetical protein
LFT_01221	CDS	higA_1		Antitoxin HigA
LFT_01222	CDS	zraR_5		Transcriptional regulatory protein ZraR
LFT_01223	CDS	zraS_3	2.7.13.3	Sensor protein ZraS
LFT_01224	CDS	ywlC_1	2.7.7.87	Threonylcarbamoyl-AMP synthase
LFT_01225	CDS	ilvD_1	4.2.1.9	Dihydroxy-acid dehydratase
LFT_01226	CDS			hypothetical protein
LFT_01227	CDS			hypothetical protein
LFT_01228	CDS	nuoL_2	1.6.5.11	NADH-quinone oxidoreductase subunit L
LFT_01229	CDS			hypothetical protein
LFT_01230	CDS			hypothetical protein
LFT_01231	CDS			hypothetical protein
LFT_01232	CDS	hisC	2.6.1.9	Histidinol-phosphate aminotransferase
LFT_01233	CDS			hypothetical protein
LFT_01234	CDS			hypothetical protein
LFT_01235	CDS	gloB_1	3.1.2.6	Hydroxyacylglutathione hydrolase
LFT_01236	CDS			hypothetical protein
LFT_01237	CDS			hypothetical protein
LFT_01238	CDS			hypothetical protein
LFT_01239	CDS	lppC_2		Putative lipoprotein LppC
LFT_01240	CDS	phzF	5.3.3.17	Trans-2,3-dihydro-3-hydroxyanthranilate isomerase
LFT_01241	CDS			hypothetical protein
LFT_01242	CDS			hypothetical protein
LFT_01243	CDS	fosB	2.5.1.-	Metallothiol transferase FosB
LFT_01244	CDS			hypothetical protein
LFT_01245	CDS			hypothetical protein
LFT_01246	CDS			hypothetical protein
LFT_01247	CDS			hypothetical protein
LFT_01248	CDS	ppsC	2.3.1.41	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsC
LFT_01249	CDS			hypothetical protein
LFT_01250	CDS	rpaR		HTH-type quorum sensing-dependent transcriptional regulator RpaR
LFT_01251	CDS			hypothetical protein
LFT_01252	CDS	mshA_1	2.4.1.250	D-inositol 3-phosphate glycosyltransferase
LFT_01253	CDS			hypothetical protein
LFT_01254	CDS			hypothetical protein
LFT_01255	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01256	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01257	CDS	bepA_5	3.4.-.-	Beta-barrel assembly-enhancing protease
	sig_peptide			putative signal peptide
LFT_01258	CDS	bepA_6	3.4.-.-	Beta-barrel assembly-enhancing protease
LFT_01259	CDS			hypothetical protein
LFT_01260	CDS			hypothetical protein
LFT_01261	CDS			hypothetical protein
LFT_01262	CDS			hypothetical protein
LFT_01263	CDS	ilvD_2	4.2.1.9	Dihydroxy-acid dehydratase
LFT_01264	CDS			hypothetical protein
LFT_01265	CDS	hipA	2.7.11.1	Serine/threonine-protein kinase HipA
LFT_01266	CDS			hypothetical protein
LFT_01267	CDS			hypothetical protein
LFT_01268	CDS			hypothetical protein
LFT_01269	CDS			hypothetical protein
LFT_01270	CDS			hypothetical protein
LFT_01271	CDS			hypothetical protein
LFT_01272	CDS			hypothetical protein
LFT_01273	CDS			hypothetical protein
LFT_01274	CDS			hypothetical protein
LFT_01275	CDS			hypothetical protein
LFT_01276	CDS	higB_2	3.1.-.-	mRNA interferase HigB
LFT_01277	CDS	higA_2		Antitoxin HigA
LFT_01278	CDS			hypothetical protein
LFT_01279	CDS			hypothetical protein
LFT_01280	CDS			hypothetical protein
LFT_01281	CDS			hypothetical protein
LFT_01282	CDS			hypothetical protein
LFT_01283	CDS			hypothetical protein
LFT_01284	CDS			hypothetical protein
LFT_01285	CDS			hypothetical protein
LFT_01286	CDS			hypothetical protein
LFT_01287	CDS			hypothetical protein
LFT_01288	CDS			hypothetical protein
LFT_01289	CDS			hypothetical protein
LFT_01290	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01291	CDS			hypothetical protein
LFT_01292	CDS	cpdA_2	3.1.4.53	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
LFT_01293	CDS			hypothetical protein
LFT_01294	CDS	dnaJ_2		Chaperone protein DnaJ
LFT_01295	CDS			hypothetical protein
LFT_01296	CDS	sigM		ECF RNA polymerase sigma factor SigM
LFT_01297	CDS	eryG	2.1.1.254	Erythromycin 3''-O-methyltransferase
LFT_01298	CDS			hypothetical protein
LFT_01299	CDS	xerC_2		Tyrosine recombinase XerC
LFT_01300	tRNA			tRNA-Phe(gaa)
LFT_01301	CDS	bamA		Outer membrane protein assembly factor BamA
LFT_01302	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01303	CDS	lpxD	2.3.1.-	UDP-3-O-acylglucosamine N-acyltransferase
LFT_01304	CDS	fabZ	4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
LFT_01305	CDS	lpxA_1	2.3.1.129	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
LFT_01306	CDS			hypothetical protein
LFT_01307	CDS	iolG	1.1.1.18	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
LFT_01308	CDS	lpxB	2.4.1.182	Lipid-A-disaccharide synthase
LFT_01309	CDS	wfgD	2.4.1.305	UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD
LFT_01310	CDS	msbA	3.6.3.-	Lipid A export ATP-binding/permease protein MsbA
LFT_01311	CDS	waaA	2.4.99.12	3-deoxy-D-manno-octulosonic acid transferase
LFT_01312	CDS	lpxK	2.7.1.130	Tetraacyldisaccharide 4'-kinase
LFT_01313	CDS	lpxL	2.3.1.241	Lipid A biosynthesis lauroyltransferase
LFT_01314	CDS			hypothetical protein
LFT_01315	CDS	rfaC_1	2.-.-.-	Lipopolysaccharide heptosyltransferase 1
LFT_01316	CDS	rfaC_2	2.-.-.-	Lipopolysaccharide heptosyltransferase 1
LFT_01317	CDS	sunS	2.4.1.-	SPBc2 prophage-derived glycosyltransferase SunS
LFT_01318	CDS			hypothetical protein
LFT_01319	CDS			hypothetical protein
LFT_01320	CDS			hypothetical protein
LFT_01321	CDS	epsJ_3	2.4.-.-	putative glycosyltransferase EpsJ
LFT_01322	CDS	rfaF_2	2.-.-.-	ADP-heptose--LPS heptosyltransferase 2
LFT_01323	CDS	gmhB	3.1.3.82	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
LFT_01324	CDS			hypothetical protein
LFT_01325	CDS	rfaQ_1	2.-.-.-	Lipopolysaccharide core heptosyltransferase RfaQ
LFT_01326	CDS	rfaQ_2	2.-.-.-	Lipopolysaccharide core heptosyltransferase RfaQ
LFT_01327	CDS	icaB_2	3.5.1.-	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
LFT_01328	CDS	kanF	2.4.1.284	2-deoxystreptamine glucosyltransferase
LFT_01329	CDS			hypothetical protein
LFT_01330	CDS			hypothetical protein
LFT_01331	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01332	CDS	bioA	2.6.1.62	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
LFT_01333	CDS			putative NTE family protein
LFT_01334	CDS			hypothetical protein
LFT_01335	CDS	yacL	3.1.-.-	putative PIN and TRAM-domain containing protein YacL
LFT_01336	CDS	ispDF		Bifunctional enzyme IspD/IspF
LFT_01337	CDS	cysE	2.3.1.30	Serine acetyltransferase
LFT_01338	CDS	bcrC_1	3.6.1.27	Undecaprenyl-diphosphatase BcrC
LFT_01339	CDS			hypothetical protein
LFT_01340	CDS			hypothetical protein
LFT_01341	CDS	rfaF_3	2.-.-.-	ADP-heptose--LPS heptosyltransferase 2
LFT_01342	CDS	ppm1	2.4.1.-	Polyprenol monophosphomannose synthase
LFT_01343	CDS	rgtA	2.4.1.-	Lipopolysaccharide core galacturonosyltransferase RgtA
LFT_01344	CDS	purH		Bifunctional purine biosynthesis protein PurH
LFT_01345	CDS	purD	6.3.4.13	Phosphoribosylamine--glycine ligase
LFT_01346	CDS	tsaC	2.7.7.87	Threonylcarbamoyl-AMP synthase
LFT_01347	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01348	CDS	rsmD	2.1.1.171	Ribosomal RNA small subunit methyltransferase D
LFT_01349	CDS	coaD	2.7.7.3	Phosphopantetheine adenylyltransferase
LFT_01350	CDS		2.6.1.1	Aspartate aminotransferase
LFT_01351	CDS	lolD	3.6.3.-	Lipoprotein-releasing system ATP-binding protein LolD
LFT_01352	CDS	lolC		Lipoprotein-releasing system transmembrane protein LolC
LFT_01353	CDS	lysS	6.1.1.6	Lysine--tRNA ligase
LFT_01354	CDS	mtnA	5.3.1.23	Methylthioribose-1-phosphate isomerase
LFT_01355	CDS			hypothetical protein
LFT_01356	CDS	hemH	4.99.1.1	Ferrochelatase
LFT_01357	CDS			hypothetical protein
LFT_01358	CDS			hypothetical protein
LFT_01359	CDS	miaB	2.8.4.3	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
LFT_01360	CDS			hypothetical protein
LFT_01361	CDS	dauC	2.1.1.288	Aklanonic acid methyltransferase DauC
LFT_01362	CDS			hypothetical protein
LFT_01363	CDS	fixP		Cbb3-type cytochrome c oxidase subunit FixP
LFT_01364	CDS	alaC_1	2.6.1.2	Glutamate-pyruvate aminotransferase AlaC
LFT_01365	CDS	alaC_2	2.6.1.2	Glutamate-pyruvate aminotransferase AlaC
LFT_01366	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01367	CDS	hom	1.1.1.3	Homoserine dehydrogenase
LFT_01368	CDS	thrC_2	4.2.3.1	Threonine synthase
LFT_01369	CDS			hypothetical protein
LFT_01370	CDS	lysC	2.7.2.4	Aspartate kinase Ask_LysC
LFT_01371	CDS	cimA	2.3.1.182	(R)-citramalate synthase
LFT_01372	CDS	lpxA_2	2.3.1.129	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
LFT_01373	CDS	ihfA		Integration host factor subunit alpha
LFT_01374	tRNA			tRNA-Pro(ggg)
LFT_01375	CDS	surE	3.1.3.5	5'-nucleotidase SurE
LFT_01376	CDS			hypothetical protein
LFT_01377	CDS	cysS	6.1.1.16	Cysteine--tRNA ligase
LFT_01378	CDS		2.1.1.-	Putative TrmH family tRNA/rRNA methyltransferase
LFT_01379	CDS	resA_1		Thiol-disulfide oxidoreductase ResA
LFT_01380	CDS	nadE	6.3.5.1	Glutamine-dependent NAD(+) synthetase
LFT_01381	CDS	ribBA		Riboflavin biosynthesis protein RibBA
LFT_01382	CDS	ribH	2.5.1.78	6,7-dimethyl-8-ribityllumazine synthase
LFT_01383	CDS	nusB		N utilization substance protein B 
