BLASTX 2.9.0+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: NCBI Protein Reference Sequences
           155,334,636 sequences; 58,941,098,972 total letters



Query= ENA|OBMB01000001|OBMB01000001.1 Leptospirillum ferriphilum isolate
pb_238 genome assembly, contig: unitig_0_quiver

Length=1740
                                                                      Score        E
 Score = 101 bits (251),  Expect(2) = 1e-22, Method: Compositional matrix adjust.
 Identities = 55/125 (44%), Positives = 72/125 (58%), Gaps = 16/125 (13%)
 Frame = -3
--
>WP_108885135.1 dTMP kinase [Primorskyibacter insulae]
Length=208

 Score = 106 bits (265),  Expect = 1e-22, Method: Compositional matrix adjust.
 Identities = 57/124 (46%), Positives = 79/124 (64%), Gaps = 11/124 (9%)
 Frame = -3
--
>WP_069115750.1 dTMP kinase [Spiroplasma helicoides]
Length=212

 Score = 106 bits (265),  Expect = 1e-22, Method: Compositional matrix adjust.
 Identities = 55/139 (40%), Positives = 81/139 (58%), Gaps = 8/139 (6%)
 Frame = -3
--
>WP_058280315.1 dTMP kinase [Ruegeria denitrificans]
Length=207

 Score = 106 bits (264),  Expect = 1e-22, Method: Compositional matrix adjust.
 Identities = 54/109 (50%), Positives = 70/109 (64%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_137697240.1 dTMP kinase [Ruminiclostridium sp. MA18]
Length=206

 Score = 106 bits (264),  Expect = 2e-22, Method: Compositional matrix adjust.
 Identities = 61/153 (40%), Positives = 84/153 (55%), Gaps = 9/153 (6%)
 Frame = -3
--
>WP_043768011.1 dTMP kinase [Roseivivax isoporae]
Length=212

 Score = 106 bits (265),  Expect = 2e-22, Method: Compositional matrix adjust.
 Identities = 56/111 (50%), Positives = 71/111 (64%), Gaps = 8/111 (7%)
 Frame = -3
--
>WP_050523501.1 dTMP kinase [Pseudorhodobacter wandonensis]
Length=210

 Score = 106 bits (264),  Expect = 2e-22, Method: Compositional matrix adjust.
 Identities = 61/156 (39%), Positives = 87/156 (56%), Gaps = 9/156 (6%)
 Frame = -3
--
>WP_107496343.1 dTMP kinase [Thalassobius sp. I31.1]
Length=207

 Score = 106 bits (264),  Expect = 2e-22, Method: Compositional matrix adjust.
 Identities = 52/105 (50%), Positives = 68/105 (65%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_066687716.1 dTMP kinase [Caulobacter sp. CCH9-E1]
Length=208

 Score = 106 bits (264),  Expect = 2e-22, Method: Compositional matrix adjust.
 Identities = 61/152 (40%), Positives = 82/152 (54%), Gaps = 9/152 (6%)
 Frame = -3
--
>WP_077974641.1 dTMP kinase [Chlamydia gallinacea]
Length=208

 Score = 100 bits (249),  Expect(2) = 2e-22, Method: Compositional matrix adjust.
 Identities = 51/115 (44%), Positives = 69/115 (60%), Gaps = 7/115 (6%)
 Frame = -3
--
>WP_113155189.1 dTMP kinase [Nitratireductor sp. OM-1]
Length=221

 Score = 106 bits (265),  Expect = 2e-22, Method: Compositional matrix adjust.
 Identities = 61/146 (42%), Positives = 80/146 (55%), Gaps = 14/146 (10%)
 Frame = -3
--
>WP_149789078.1 dTMP kinase [Lutimaribacter pacificus]
Length=212

 Score = 106 bits (264),  Expect = 2e-22, Method: Compositional matrix adjust.
 Identities = 57/118 (48%), Positives = 75/118 (64%), Gaps = 11/118 (9%)
 Frame = -3
--
>WP_076485667.1 dTMP kinase [Rhodobacter aestuarii]
Length=206

 Score = 105 bits (263),  Expect = 2e-22, Method: Compositional matrix adjust.
 Identities = 58/139 (42%), Positives = 79/139 (57%), Gaps = 16/139 (12%)
 Frame = -3
--
>WP_113788430.1 dTMP kinase [Ruegeria sp. A3M17]
Length=208

 Score = 105 bits (263),  Expect = 3e-22, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_144103635.1 dTMP kinase [Candidatus Melainabacteria bacterium]
Length=214

 Score = 104 bits (259),  Expect(2) = 3e-22, Method: Compositional matrix adjust.
 Identities = 52/109 (48%), Positives = 75/109 (69%), Gaps = 9/109 (8%)
 Frame = -3
--
>WP_008226349.1 dTMP kinase [Roseobacter sp. GAI101]
Length=210

 Score = 105 bits (263),  Expect = 3e-22, Method: Compositional matrix adjust.
 Identities = 57/140 (41%), Positives = 81/140 (58%), Gaps = 10/140 (7%)
 Frame = -3
--
>WP_009144416.1 dTMP kinase [Phascolarctobacterium succinatutens]
Length=211

 Score = 105 bits (263),  Expect = 3e-22, Method: Compositional matrix adjust.
 Identities = 51/116 (44%), Positives = 72/116 (62%), Gaps = 7/116 (6%)
 Frame = -3
--
>WP_061290948.1 dTMP kinase [Herbidospora cretacea]
Length=676

 Score = 105 bits (262),  Expect(2) = 3e-22, Method: Compositional matrix adjust.
 Identities = 54/123 (44%), Positives = 78/123 (63%), Gaps = 10/123 (8%)
 Frame = -3
--
>WP_103910333.1 dTMP kinase [Thalassococcus halodurans]
Length=208

 Score = 105 bits (262),  Expect = 3e-22, Method: Compositional matrix adjust.
 Identities = 54/103 (52%), Positives = 69/103 (67%), Gaps = 8/103 (8%)
 Frame = -3
--
>WP_152461848.1 dTMP kinase [Roseivivax sp. THAF30]
Length=213

 Score = 105 bits (263),  Expect = 3e-22, Method: Compositional matrix adjust.
 Identities = 51/108 (47%), Positives = 73/108 (68%), Gaps = 8/108 (7%)
 Frame = -3
--
>WP_068928137.1 dTMP kinase [Planobispora rosea]
Length=688

 Score = 97.4 bits (241),  Expect(2) = 3e-22, Method: Compositional matrix adjust.
 Identities = 50/118 (42%), Positives = 70/118 (59%), Gaps = 16/118 (14%)
 Frame = -3
--
>WP_093173577.1 dTMP kinase [Sinosporangium album]
Length=688

 Score = 96.7 bits (239),  Expect(2) = 3e-22, Method: Compositional matrix adjust.
 Identities = 51/121 (42%), Positives = 70/121 (58%), Gaps = 16/121 (13%)
 Frame = -3
--
>WP_055482466.1 dTMP kinase [Microbispora sp. GMKU363]
Length=695

 Score = 99.0 bits (245),  Expect(2) = 3e-22, Method: Compositional matrix adjust.
 Identities = 54/123 (44%), Positives = 73/123 (59%), Gaps = 10/123 (8%)
 Frame = -3
--
>WP_146888078.1 dTMP kinase [Acetobacter oeni]
Length=226

 Score = 102 bits (254),  Expect(2) = 3e-22, Method: Compositional matrix adjust.
 Identities = 54/105 (51%), Positives = 66/105 (63%), Gaps = 7/105 (7%)
 Frame = -3
--
>WP_070190051.1 dTMP kinase [Humibacillus sp. DSM 29435]
Length=223

 Score = 105 bits (263),  Expect = 3e-22, Method: Compositional matrix adjust.
 Identities = 58/134 (43%), Positives = 81/134 (60%), Gaps = 7/134 (5%)
 Frame = -3
--
>WP_062498220.1 dTMP kinase [Gluconobacter oxydans]
Length=214

 Score = 101 bits (252),  Expect(2) = 3e-22, Method: Compositional matrix adjust.
 Identities = 51/124 (41%), Positives = 78/124 (63%), Gaps = 7/124 (6%)
 Frame = -3
--
>WP_058246364.1 dTMP kinase [Tropicibacter naphthalenivorans]
Length=204

 Score = 105 bits (262),  Expect = 3e-22, Method: Compositional matrix adjust.
 Identities = 52/104 (50%), Positives = 69/104 (66%), Gaps = 8/104 (8%)
 Frame = -3
--
>WP_117868431.1 dTMP kinase [Ruegeria sp. AD91A]
Length=208

 Score = 105 bits (262),  Expect = 3e-22, Method: Compositional matrix adjust.
 Identities = 52/109 (48%), Positives = 71/109 (65%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_051456377.1 dTMP kinase [Caldicoprobacter oshimai]
Length=210

 Score = 105 bits (262),  Expect = 3e-22, Method: Compositional matrix adjust.
 Identities = 57/137 (42%), Positives = 82/137 (60%), Gaps = 9/137 (7%)
 Frame = -3
--
>WP_148035682.1 dTMP kinase [Nonomuraea sp. C10]
Length=680

 Score = 101 bits (251),  Expect(2) = 4e-22, Method: Compositional matrix adjust.
 Identities = 53/123 (43%), Positives = 76/123 (62%), Gaps = 10/123 (8%)
 Frame = -3
--
>WP_013079243.1 dTMP kinase [Caulobacter segnis]
Length=208

 Score = 105 bits (262),  Expect = 4e-22, Method: Compositional matrix adjust.
 Identities = 57/136 (42%), Positives = 79/136 (58%), Gaps = 9/136 (7%)
 Frame = -3
--
>WP_041112514.1 dTMP kinase [Gluconobacter oxydans]
Length=214

 Score = 101 bits (252),  Expect(2) = 4e-22, Method: Compositional matrix adjust.
 Identities = 51/124 (41%), Positives = 78/124 (63%), Gaps = 7/124 (6%)
 Frame = -3
--
>WP_105236301.1 dTMP kinase [Rhodobacteraceae bacterium]
Length=206

 Score = 105 bits (261),  Expect = 4e-22, Method: Compositional matrix adjust.
 Identities = 52/104 (50%), Positives = 69/104 (66%), Gaps = 8/104 (8%)
 Frame = -3
--
>WP_087593897.1 dTMP kinase [Rhodobacteraceae bacterium WFHF2C18]
Length=208

 Score = 105 bits (261),  Expect = 4e-22, Method: Compositional matrix adjust.
 Identities = 54/110 (49%), Positives = 69/110 (63%), Gaps = 8/110 (7%)
 Frame = -3
--
>WP_152458555.1 dTMP kinase [Ruegeria sp. THAF33]
Length=208

 Score = 105 bits (261),  Expect = 4e-22, Method: Compositional matrix adjust.
 Identities = 59/140 (42%), Positives = 81/140 (58%), Gaps = 12/140 (9%)
 Frame = -3
--
>WP_078705371.1 dTMP kinase [Bartonella sp. WD16.2]
Length=214

 Score = 105 bits (262),  Expect = 4e-22, Method: Compositional matrix adjust.
 Identities = 59/141 (42%), Positives = 78/141 (55%), Gaps = 17/141 (12%)
 Frame = -3
--
>WP_125158391.1 dTMP kinase [Caulobacter sp. 602-1]
Length=208

 Score = 105 bits (261),  Expect = 4e-22, Method: Compositional matrix adjust.
 Identities = 61/152 (40%), Positives = 81/152 (53%), Gaps = 9/152 (6%)
 Frame = -3
--
>WP_017326939.1 dTMP kinase [Synechococcus sp. PCC 7336]
Length=225

 Score = 105 bits (262),  Expect = 4e-22, Method: Compositional matrix adjust.
 Identities = 56/136 (41%), Positives = 82/136 (60%), Gaps = 9/136 (7%)
 Frame = -3
--
>WP_093031799.1 dTMP kinase [Ruegeria marina]
Length=211

 Score = 105 bits (261),  Expect = 4e-22, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 71/109 (65%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_154596049.1 dTMP kinase [Aeromicrobium sp. zg-629]
Length=220

 Score = 105 bits (262),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 61/163 (37%), Positives = 87/163 (53%), Gaps = 9/163 (6%)
 Frame = -3
--
>WP_076626524.1 dTMP kinase [Tateyamaria omphalii]
Length=211

 Score = 105 bits (261),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 55/109 (50%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_068304847.1 dTMP kinase [Pararhodobacter sp. CCB-MM2]
Length=210

 Score = 105 bits (261),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 51/105 (49%), Positives = 70/105 (67%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_062449889.1 dTMP kinase [Gluconobacter oxydans]
Length=214

 Score = 100 bits (250),  Expect(2) = 5e-22, Method: Compositional matrix adjust.
 Identities = 51/124 (41%), Positives = 78/124 (63%), Gaps = 7/124 (6%)
 Frame = -3
--
>WP_099535617.1 dTMP kinase [Caulobacter sp. X]
Length=208

 Score = 105 bits (261),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 59/152 (39%), Positives = 82/152 (54%), Gaps = 9/152 (6%)
 Frame = -3
--
>WP_038525184.1 dTMP kinase [Bartonella henselae]
Length=215

 Score = 105 bits (261),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 57/140 (41%), Positives = 81/140 (58%), Gaps = 10/140 (7%)
 Frame = -3
--
>WP_068335470.1 dTMP kinase [Ruegeria profundi]
Length=207

 Score = 105 bits (261),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 54/109 (50%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_101780317.1 dTMP kinase [Spiroplasma monobiae]
Length=209

 Score = 105 bits (261),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 54/134 (40%), Positives = 78/134 (58%), Gaps = 8/134 (6%)
 Frame = -3
--
>WP_055192079.1 dTMP kinase [Aliiroseovarius crassostreae]
Length=216

 Score = 105 bits (261),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 54/104 (52%), Positives = 69/104 (66%), Gaps = 8/104 (8%)
 Frame = -3
--
>WP_019878650.1 dTMP kinase [Succinispira mobilis]
Length=205

 Score = 104 bits (260),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 54/131 (41%), Positives = 78/131 (60%), Gaps = 8/131 (6%)
 Frame = -3
--
>WP_109643923.1 MULTISPECIES: dTMP kinase [unclassified Ruminococcaceae (miscellaneous)]
Length=206

 Score = 104 bits (260),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 60/148 (41%), Positives = 79/148 (53%), Gaps = 9/148 (6%)
 Frame = -3
--
>WP_040095279.1 dTMP kinase [Geoalkalibacter ferrihydriticus]
Length=216

 Score = 100 bits (250),  Expect(2) = 5e-22, Method: Compositional matrix adjust.
 Identities = 53/118 (45%), Positives = 74/118 (63%), Gaps = 8/118 (7%)
 Frame = -3
--
>WP_092282349.1 dTMP kinase [Caldicoprobacter faecalis]
Length=210

 Score = 104 bits (260),  Expect = 5e-22, Method: Compositional matrix adjust.
 Identities = 57/136 (42%), Positives = 82/136 (60%), Gaps = 9/136 (7%)
 Frame = -3
--
>WP_083454843.1 dTMP kinase [Tetrasphaera japonica]
Length=235

 Score = 105 bits (262),  Expect = 6e-22, Method: Compositional matrix adjust.
 Identities = 51/125 (41%), Positives = 78/125 (62%), Gaps = 6/125 (5%)
 Frame = -3
--
>WP_035162561.1 dTMP kinase [Caloranaerobacter azorensis]
Length=214

 Score = 105 bits (261),  Expect = 6e-22, Method: Compositional matrix adjust.
 Identities = 55/149 (37%), Positives = 83/149 (56%), Gaps = 9/149 (6%)
 Frame = -3
--
>WP_116564506.1 dTMP kinase [Caulobacter radicis]
Length=209

 Score = 96.7 bits (239),  Expect(2) = 6e-22, Method: Compositional matrix adjust.
 Identities = 54/126 (43%), Positives = 73/126 (58%), Gaps = 8/126 (6%)
 Frame = -3
--
>WP_085636082.1 dTMP kinase [Marivita geojedonensis]
Length=208

 Score = 104 bits (260),  Expect = 6e-22, Method: Compositional matrix adjust.
 Identities = 58/124 (47%), Positives = 76/124 (61%), Gaps = 11/124 (9%)
 Frame = -3
--
>WP_137247962.1 dTMP kinase [Herbidospora sp. NEAU-GS14]
Length=676

 Score = 104 bits (259),  Expect(2) = 6e-22, Method: Compositional matrix adjust.
 Identities = 55/125 (44%), Positives = 75/125 (60%), Gaps = 16/125 (13%)
 Frame = -3
--
>WP_111170398.1 dTMP kinase [Desertiactinospora gelatinilytica]
Length=698

 Score = 98.6 bits (244),  Expect(2) = 6e-22, Method: Compositional matrix adjust.
 Identities = 50/117 (43%), Positives = 71/117 (61%), Gaps = 8/117 (7%)
 Frame = -3
--
>WP_011190050.1 dTMP kinase [Desulfotalea psychrophila]
Length=202

 Score = 104 bits (259),  Expect = 6e-22, Method: Compositional matrix adjust.
 Identities = 62/134 (46%), Positives = 81/134 (60%), Gaps = 11/134 (8%)
 Frame = -3
--
>WP_085791248.1 dTMP kinase [Roseivivax jejudonensis]
Length=212

 Score = 104 bits (260),  Expect = 7e-22, Method: Compositional matrix adjust.
 Identities = 53/107 (50%), Positives = 69/107 (64%), Gaps = 8/107 (7%)
 Frame = -3
--
>WP_062430381.1 dTMP kinase [Herbidospora daliensis]
Length=676

 Score = 104 bits (259),  Expect(2) = 7e-22, Method: Compositional matrix adjust.
 Identities = 55/125 (44%), Positives = 75/125 (60%), Gaps = 16/125 (13%)
 Frame = -3
--
>WP_136805266.1 dTMP kinase [Desulfopila sp. IMCC35005]
Length=211

 Score = 104 bits (260),  Expect = 7e-22, Method: Compositional matrix adjust.
 Identities = 61/133 (46%), Positives = 77/133 (58%), Gaps = 17/133 (13%)
 Frame = -3
--
>WP_011180740.1 dTMP kinase [Bartonella henselae]
Length=215

 Score = 104 bits (260),  Expect = 7e-22, Method: Compositional matrix adjust.
 Identities = 57/143 (40%), Positives = 82/143 (57%), Gaps = 10/143 (7%)
 Frame = -3
--
>WP_064822049.1 dTMP kinase [Rhizobium phaseoli]
Length=226

 Score = 105 bits (261),  Expect = 7e-22, Method: Compositional matrix adjust.
 Identities = 60/151 (40%), Positives = 85/151 (56%), Gaps = 9/151 (6%)
 Frame = -3
--
>WP_093914673.1 dTMP kinase [Sulfitobacter marinus]
Length=208

 Score = 104 bits (259),  Expect = 7e-22, Method: Compositional matrix adjust.
 Identities = 52/109 (48%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_129695607.1 dTMP kinase [Candidatus Gastranaerophilales bacterium]
Length=199

 Score = 104 bits (259),  Expect = 7e-22, Method: Compositional matrix adjust.
 Identities = 58/146 (40%), Positives = 83/146 (57%), Gaps = 8/146 (5%)
 Frame = -3
--
>WP_156074525.1 dTMP kinase [Rhodobacteraceae bacterium]
Length=208

 Score = 104 bits (259),  Expect = 7e-22, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 71/109 (65%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_142261276.1 dTMP kinase [Thermopolyspora flexuosa]
Length=687

 Score = 97.8 bits (242),  Expect(2) = 7e-22, Method: Compositional matrix adjust.
 Identities = 52/125 (42%), Positives = 73/125 (58%), Gaps = 8/125 (6%)
 Frame = -3
--
>WP_043056695.1 dTMP kinase [Enteractinococcus helveticum]
Length=215

 Score = 104 bits (260),  Expect = 7e-22, Method: Compositional matrix adjust.
 Identities = 54/136 (40%), Positives = 82/136 (60%), Gaps = 10/136 (7%)
 Frame = -3
--
>WP_062356554.1 dTMP kinase [Herbidospora yilanensis]
Length=676

 Score = 104 bits (259),  Expect(2) = 7e-22, Method: Compositional matrix adjust.
 Identities = 55/125 (44%), Positives = 75/125 (60%), Gaps = 16/125 (13%)
 Frame = -3
--
>WP_062336547.1 dTMP kinase [Herbidospora sakaeratensis]
Length=676

 Score = 104 bits (259),  Expect(2) = 7e-22, Method: Compositional matrix adjust.
 Identities = 55/125 (44%), Positives = 75/125 (60%), Gaps = 16/125 (13%)
 Frame = -3
--
>WP_109857660.1 dTMP kinase [Ensifer adhaerens]
Length=243

 Score = 105 bits (262),  Expect = 7e-22, Method: Compositional matrix adjust.
 Identities = 56/141 (40%), Positives = 80/141 (57%), Gaps = 8/141 (6%)
 Frame = -3
--
>WP_105044571.1 dTMP kinase [Rubritalea profundi]
Length=202

 Score = 104 bits (259),  Expect = 8e-22, Method: Compositional matrix adjust.
 Identities = 64/156 (41%), Positives = 84/156 (54%), Gaps = 10/156 (6%)
 Frame = -3
--
>WP_099911474.1 dTMP kinase [Puniceibacterium antarcticum]
Length=213

 Score = 104 bits (260),  Expect = 8e-22, Method: Compositional matrix adjust.
 Identities = 55/109 (50%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_116489647.1 dTMP kinase [Caulobacter radicis]
Length=209

 Score = 96.7 bits (239),  Expect(2) = 8e-22, Method: Compositional matrix adjust.
 Identities = 54/126 (43%), Positives = 73/126 (58%), Gaps = 8/126 (6%)
 Frame = -3
--
>WP_108887947.1 dTMP kinase [Rhodobacteraceae bacterium Alg231-30]
Length=207

 Score = 104 bits (259),  Expect = 8e-22, Method: Compositional matrix adjust.
 Identities = 52/104 (50%), Positives = 69/104 (66%), Gaps = 8/104 (8%)
 Frame = -3
--
>WP_050528816.1 dTMP kinase [Pseudaestuariivita atlantica]
Length=210

 Score = 104 bits (259),  Expect = 8e-22, Method: Compositional matrix adjust.
 Identities = 55/109 (50%), Positives = 71/109 (65%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_142565333.1 dTMP kinase [Microbispora sp. KK1-11]
Length=687

 Score = 97.8 bits (242),  Expect(2) = 8e-22, Method: Compositional matrix adjust.
 Identities = 50/117 (43%), Positives = 70/117 (60%), Gaps = 8/117 (7%)
 Frame = -3
--
>WP_021828347.1 dTMP kinase [Chlamydia gallinacea]
Length=208

 Score = 98.2 bits (243),  Expect(2) = 8e-22, Method: Compositional matrix adjust.
 Identities = 50/115 (43%), Positives = 69/115 (60%), Gaps = 7/115 (6%)
 Frame = -3
--
>WP_054003217.1 dTMP kinase [Shimia sp. SK013]
Length=212

 Score = 104 bits (259),  Expect = 8e-22, Method: Compositional matrix adjust.
 Identities = 52/105 (50%), Positives = 70/105 (67%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_112534212.1 dTMP kinase [Rhizobiales bacterium]
Length=227

 Score = 104 bits (260),  Expect = 8e-22, Method: Compositional matrix adjust.
 Identities = 63/157 (40%), Positives = 86/157 (55%), Gaps = 10/157 (6%)
 Frame = -3
--
>WP_011569564.1 dTMP kinase [Roseobacter denitrificans]
Length=212

 Score = 104 bits (259),  Expect = 8e-22, Method: Compositional matrix adjust.
 Identities = 52/108 (48%), Positives = 71/108 (66%), Gaps = 8/108 (7%)
 Frame = -3
--
>WP_139575677.1 dTMP kinase [Microbispora sp. CR1-09]
Length=687

 Score = 97.8 bits (242),  Expect(2) = 8e-22, Method: Compositional matrix adjust.
 Identities = 50/117 (43%), Positives = 70/117 (60%), Gaps = 8/117 (7%)
 Frame = -3
--
>WP_009571416.1 MULTISPECIES: dTMP kinase [Rhodobacteraceae]
Length=211

 Score = 104 bits (259),  Expect = 8e-22, Method: Compositional matrix adjust.
 Identities = 55/139 (40%), Positives = 81/139 (58%), Gaps = 16/139 (12%)
 Frame = -3
--
>WP_050518698.1 dTMP kinase [Pseudorhodobacter antarcticus]
Length=216

 Score = 104 bits (259),  Expect = 9e-22, Method: Compositional matrix adjust.
 Identities = 56/144 (39%), Positives = 84/144 (58%), Gaps = 9/144 (6%)
 Frame = -3
--
>WP_073037409.1 dTMP kinase [Roseovarius pacificus]
Length=208

 Score = 104 bits (259),  Expect = 9e-22, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 70/109 (64%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_142624879.1 dTMP kinase [Microbispora hainanensis]
Length=687

 Score = 97.4 bits (241),  Expect(2) = 9e-22, Method: Compositional matrix adjust.
 Identities = 50/117 (43%), Positives = 70/117 (60%), Gaps = 8/117 (7%)
 Frame = -3
--
>WP_093013407.1 dTMP kinase [Roseivivax halotolerans]
Length=213

 Score = 104 bits (259),  Expect = 9e-22, Method: Compositional matrix adjust.
 Identities = 51/108 (47%), Positives = 72/108 (67%), Gaps = 8/108 (7%)
 Frame = -3
--
>WP_013769651.1 dTMP kinase [Cellulomonas fimi]
Length=230

 Score = 104 bits (260),  Expect = 9e-22, Method: Compositional matrix adjust.
 Identities = 52/115 (45%), Positives = 74/115 (64%), Gaps = 6/115 (5%)
 Frame = -3
--
>WP_070064942.1 dTMP kinase [Wolbachia pipientis]
Length=194

 Score = 103 bits (257),  Expect = 9e-22, Method: Compositional matrix adjust.
 Identities = 55/115 (48%), Positives = 74/115 (64%), Gaps = 7/115 (6%)
 Frame = -3
--
>WP_099442937.1 dTMP kinase [Caulobacter sp. BP25]
Length=208

 Score = 103 bits (258),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 58/136 (43%), Positives = 77/136 (57%), Gaps = 9/136 (7%)
 Frame = -3
--
>WP_037178198.1 dTMP kinase [Rhizobium sp. YR519]
Length=227

 Score = 104 bits (260),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 63/157 (40%), Positives = 86/157 (55%), Gaps = 10/157 (6%)
 Frame = -3
--
>WP_155527257.1 dTMP kinase [Rhodobacteraceae bacterium]
Length=208

 Score = 103 bits (258),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_102268606.1 dTMP kinase [Massilicoli timonensis]
Length=214

 Score = 104 bits (259),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 64/152 (42%), Positives = 89/152 (59%), Gaps = 15/152 (10%)
 Frame = -3
--
>WP_030452780.1 dTMP kinase [Herbidospora cretacea]
Length=676

 Score = 103 bits (257),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 55/125 (44%), Positives = 75/125 (60%), Gaps = 16/125 (13%)
 Frame = -3
--
>WP_085805704.1 dTMP kinase [Roseovarius albus]
Length=208

 Score = 103 bits (258),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 54/108 (50%), Positives = 70/108 (65%), Gaps = 8/108 (7%)
 Frame = -3
--
>WP_064789221.1 MULTISPECIES: dTMP kinase [Thalassospira]
Length=218

 Score = 99.4 bits (246),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 51/122 (42%), Positives = 74/122 (61%), Gaps = 8/122 (7%)
 Frame = -3
--
>WP_124236565.1 dTMP kinase [Aeromicrobium camelliae]
Length=214

 Score = 103 bits (258),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 50/118 (42%), Positives = 74/118 (63%), Gaps = 8/118 (7%)
 Frame = -3
--
>WP_030507895.1 dTMP kinase [Microbispora rosea]
Length=687

 Score = 97.1 bits (240),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 50/117 (43%), Positives = 70/117 (60%), Gaps = 8/117 (7%)
 Frame = -3
--
>WP_076439194.1 dTMP kinase [Microbispora rosea]
Length=687

 Score = 97.1 bits (240),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 50/117 (43%), Positives = 70/117 (60%), Gaps = 8/117 (7%)
 Frame = -3
--
>WP_066366667.1 dTMP kinase [Herbidospora mongoliensis]
Length=676

 Score = 104 bits (259),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 53/121 (44%), Positives = 74/121 (61%), Gaps = 8/121 (7%)
 Frame = -3
--
>WP_109101852.1 dTMP kinase [Caulobacter sp. 774]
Length=209

 Score = 96.3 bits (238),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 54/126 (43%), Positives = 73/126 (58%), Gaps = 8/126 (6%)
 Frame = -3
--
>WP_073195793.1 dTMP kinase [Caloranaerobacter azorensis]
Length=214

 Score = 103 bits (258),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 56/149 (38%), Positives = 83/149 (56%), Gaps = 9/149 (6%)
 Frame = -3
--
>WP_101717415.1 dTMP kinase [Caulobacter zeae]
Length=209

 Score = 97.1 bits (240),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 54/126 (43%), Positives = 73/126 (58%), Gaps = 8/126 (6%)
 Frame = -3
--
>WP_121632175.1 dTMP kinase [Tropicibacter sp. LMIT003]
Length=204

 Score = 103 bits (257),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 52/104 (50%), Positives = 70/104 (67%), Gaps = 8/104 (8%)
 Frame = -3
--
>WP_068900479.1 dTMP kinase [Planomonospora sphaerica]
Length=686

 Score = 95.5 bits (236),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 59/179 (33%), Positives = 91/179 (51%), Gaps = 29/179 (16%)
 Frame = -3
--
>WP_146826358.1 dTMP kinase [Aeromicrobium flavum]
